# Code: sensitivity_master_dec2011.c (sll - 3 May 2012 Build), with reddening
# based on WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# -------------------------------------------
# For this data file:
# -------------------------------------------
# Base Filename = LISA2018_esaSTD 
# SNR = 1.000000 
# Optics diameter = 0.300000 meters
# Armlength = 2.500000e+09 meters
# Laser power = 1.000000 Watts
# Wavelength = 1.064000e-06 m
# Optical train efficiency = 0.300000 
# Reddening (1 + fr/f) @ fr = 0.000400 Hz
# Reddening index (1 + fr/f)^Ri -- Ri = 2.000000 
# Reddening 2 (1 + fr/f) @ fr = 0.000000 Hz
# Reddening index 2 (1 + fr/f)^Ri -- Ri = 8.000000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.524300e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is No White Dwarf Noise
# -------------------------------------------
# f [Hz],hf [Hz^(-1/2)]
8.534765e-06,1.010160e-13
8.733625e-06,9.427266e-14
8.937119e-06,8.797953e-14
9.145354e-06,8.210655e-14
9.358440e-06,7.662567e-14
9.576492e-06,7.151067e-14
9.799623e-06,6.673720e-14
1.002796e-05,6.228237e-14
1.026161e-05,5.812496e-14
1.050070e-05,5.424509e-14
1.074537e-05,5.062424e-14
1.099573e-05,4.724513e-14
1.125194e-05,4.409161e-14
1.151411e-05,4.114860e-14
1.178238e-05,3.840206e-14
1.205691e-05,3.583889e-14
1.233784e-05,3.344683e-14
1.262531e-05,3.121445e-14
1.291948e-05,2.913110e-14
1.322051e-05,2.718683e-14
1.352854e-05,2.537236e-14
1.384376e-05,2.367902e-14
1.416632e-05,2.209871e-14
1.449639e-05,2.062391e-14
1.483416e-05,1.924755e-14
1.517980e-05,1.796307e-14
1.553348e-05,1.676434e-14
1.589541e-05,1.564562e-14
1.626578e-05,1.460159e-14
1.664477e-05,1.362724e-14
1.703259e-05,1.271794e-14
1.742945e-05,1.186934e-14
1.783556e-05,1.107738e-14
1.825113e-05,1.033828e-14
1.867638e-05,9.648518e-15
1.911155e-05,9.006411e-15
1.955685e-05,8.399713e-15
2.001251e-05,7.847000e-15
2.047880e-05,7.321810e-15
2.095596e-05,6.833689e-15
2.144424e-05,6.375996e-15
2.194387e-05,5.951012e-15
2.245517e-05,5.556223e-15
2.297838e-05,5.182418e-15
2.351378e-05,4.837162e-15
2.406165e-05,4.516764e-15
2.462228e-05,4.214337e-15
2.519599e-05,3.933186e-15
2.578305e-05,3.671005e-15
2.638380e-05,3.425567e-15
2.699854e-05,3.197943e-15
2.762760e-05,2.984218e-15
2.827133e-05,2.785368e-15
2.893006e-05,2.599483e-15
2.960412e-05,2.426661e-15
3.029390e-05,2.264552e-15
3.099973e-05,2.113981e-15
3.172204e-05,1.973101e-15
3.246116e-05,1.841308e-15
3.321751e-05,1.718913e-15
3.399148e-05,1.604323e-15
3.478347e-05,1.497517e-15
3.559393e-05,1.397759e-15
3.642327e-05,1.304654e-15
3.727194e-05,1.217869e-15
3.814036e-05,1.136808e-15
3.902903e-05,1.061122e-15
3.993841e-05,9.904775e-16
4.086898e-05,9.245592e-16
4.182122e-05,8.630478e-16
4.279566e-05,8.056321e-16
4.379280e-05,7.520578e-16
4.481318e-05,7.020433e-16
4.585732e-05,6.553706e-16
4.692580e-05,6.117997e-16
4.801916e-05,5.711322e-16
4.913800e-05,5.331647e-16
5.028294e-05,4.977466e-16
5.145453e-05,4.646919e-16
5.265342e-05,4.338264e-16
5.388024e-05,4.050236e-16
5.513564e-05,3.781426e-16
5.642030e-05,3.530510e-16
5.773490e-05,3.296271e-16
5.908011e-05,3.077722e-16
6.045668e-05,2.873657e-16
6.186534e-05,2.683224e-16
6.330680e-05,2.505442e-16
6.478183e-05,2.339511e-16
6.629126e-05,2.184643e-16
6.783584e-05,2.040057e-16
6.941641e-05,1.905121e-16
7.103382e-05,1.779151e-16
7.268891e-05,1.661554e-16
7.438256e-05,1.551792e-16
7.611567e-05,1.449330e-16
7.788918e-05,1.353679e-16
7.970398e-05,1.264388e-16
8.156109e-05,1.181032e-16
8.346146e-05,1.103216e-16
8.540612e-05,1.030573e-16
8.739608e-05,9.627537e-17
8.943241e-05,8.994399e-17
9.151618e-05,8.403317e-17
9.364851e-05,7.851452e-17
9.583052e-05,7.336225e-17
9.806338e-05,6.855170e-17
1.003482e-04,6.406043e-17
1.026864e-04,5.986667e-17
1.050790e-04,5.595112e-17
1.075273e-04,5.229488e-17
1.100327e-04,4.888088e-17
1.125964e-04,4.569297e-17
1.152199e-04,4.271600e-17
1.179046e-04,3.993598e-17
1.206517e-04,3.733981e-17
1.234629e-04,3.491525e-17
1.263396e-04,3.265087e-17
1.292833e-04,3.053603e-17
1.322956e-04,2.856075e-17
1.353781e-04,2.671575e-17
1.385324e-04,2.499241e-17
1.417602e-04,2.338259e-17
1.450632e-04,2.187877e-17
1.484432e-04,2.047391e-17
1.519019e-04,1.916140e-17
1.554413e-04,1.793513e-17
1.590630e-04,1.678938e-17
1.627692e-04,1.571878e-17
1.665617e-04,1.471836e-17
1.704426e-04,1.378345e-17
1.744139e-04,1.290970e-17
1.784778e-04,1.209307e-17
1.826363e-04,1.132976e-17
1.868917e-04,1.061623e-17
1.912464e-04,9.949184e-18
1.957023e-04,9.325582e-18
2.002621e-04,8.742487e-18
2.049283e-04,8.197239e-18
2.097031e-04,7.687353e-18
2.145891e-04,7.210474e-18
2.195891e-04,6.764416e-18
2.247055e-04,6.347158e-18
2.299412e-04,5.956784e-18
2.352989e-04,5.591530e-18
