# Code: sensitivity_master_dec2011.c (sll - 3 May 2012 Build), with reddening
# based on WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# -------------------------------------------
# For this data file:
# -------------------------------------------
# Base Filename = LISA2018_esaSTD 
# SNR = 1.000000 
# Optics diameter = 0.300000 meters
# Armlength = 2.500000e+09 meters
# Laser power = 1.000000 Watts
# Wavelength = 1.064000e-06 m
# Optical train efficiency = 0.300000 
# Reddening (1 + fr/f) @ fr = 0.000400 Hz
# Reddening index (1 + fr/f)^Ri -- Ri = 2.000000 
# Reddening 2 (1 + fr/f) @ fr = 0.000000 Hz
# Reddening index 2 (1 + fr/f)^Ri -- Ri = 8.000000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.524300e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is No White Dwarf Noise
# -------------------------------------------
# f [Hz],hf [Hz^(-1/2)]
5.853782e-01,3.606663e-19
5.909916e-01,4.003662e-19
5.966588e-01,4.327469e-19
6.023804e-01,4.366303e-19
6.081570e-01,4.105585e-19
6.139889e-01,3.751883e-19
6.198766e-01,3.474142e-19
6.258209e-01,3.334214e-19
6.318221e-01,3.347335e-19
6.378809e-01,3.522581e-19
6.439978e-01,3.866256e-19
6.501735e-01,4.339431e-19
6.564081e-01,4.755759e-19
6.627026e-01,4.807403e-19
6.690577e-01,4.470557e-19
6.754734e-01,4.048211e-19
6.819508e-01,3.755444e-19
6.884904e-01,3.655305e-19
6.950926e-01,3.762317e-19
7.017582e-01,4.087601e-19
7.084875e-01,4.608244e-19
7.152815e-01,5.131256e-19
7.221406e-01,5.240010e-19
7.290655e-01,4.843154e-19
7.360569e-01,4.345479e-19
7.431153e-01,4.028714e-19
7.502412e-01,3.963869e-19
7.574356e-01,4.167919e-19
7.630694e-01,4.519839e-19
7.687452e-01,5.013178e-19
7.744634e-01,5.507476e-19
7.802239e-01,5.718897e-19
7.860272e-01,5.491414e-19
7.918738e-01,5.031111e-19
7.977639e-01,4.611003e-19
8.036978e-01,4.355083e-19
8.096757e-01,4.293939e-19
8.156981e-01,4.436597e-19
8.217655e-01,4.791205e-19
8.278778e-01,5.334576e-19
8.340357e-01,5.907587e-19
8.402394e-01,6.146709e-19
8.464891e-01,5.850377e-19
8.527854e-01,5.306747e-19
8.591286e-01,4.852631e-19
8.655188e-01,4.617051e-19
8.719566e-01,4.626205e-19
8.784424e-01,4.891328e-19
8.849763e-01,5.414738e-19
8.915589e-01,6.099065e-19
8.981905e-01,6.571514e-19
9.048713e-01,6.406589e-19
9.116018e-01,5.808029e-19
9.183824e-01,5.255430e-19
9.252134e-01,4.960709e-19
9.320953e-01,4.965648e-19
9.390284e-01,5.283815e-19
9.460129e-01,5.910270e-19
9.517622e-01,6.544137e-19
9.575464e-01,6.985737e-19
9.633659e-01,6.912052e-19
9.692205e-01,6.405923e-19
9.751108e-01,5.830505e-19
9.810370e-01,5.416520e-19
9.869991e-01,5.233039e-19
9.929975e-01,5.293567e-19
9.990325e-01,5.607425e-19
1.005104e+00,6.171857e-19
1.011212e+00,6.888627e-19
1.017358e+00,7.418898e-19
1.023541e+00,7.343823e-19
1.029761e+00,6.760346e-19
1.036019e+00,6.124158e-19
1.042316e+00,5.701043e-19
1.048650e+00,5.559649e-19
1.055023e+00,5.713051e-19
1.061435e+00,6.171039e-19
1.067886e+00,6.898925e-19
1.074376e+00,7.651822e-19
1.080905e+00,7.885716e-19
1.087474e+00,7.387136e-19
1.094083e+00,6.644323e-19
1.100732e+00,6.092600e-19
1.107422e+00,5.864436e-19
1.114152e+00,5.981552e-19
1.120923e+00,6.456515e-19
1.127736e+00,7.257193e-19
1.134589e+00,8.097602e-19
1.140419e+00,8.342312e-19
1.146279e+00,7.943028e-19
1.152169e+00,7.244083e-19
1.158089e+00,6.635034e-19
1.164040e+00,6.276547e-19
1.170021e+00,6.203137e-19
1.176033e+00,6.423642e-19
1.182076e+00,6.944846e-19
1.188150e+00,7.720780e-19
1.194255e+00,8.501345e-19
1.200392e+00,8.771440e-19
1.206560e+00,8.302054e-19
1.212760e+00,7.521421e-19
1.218991e+00,6.879049e-19
1.225255e+00,6.539689e-19
1.231550e+00,6.533487e-19
1.237879e+00,6.870842e-19
1.244239e+00,7.552257e-19
1.250633e+00,8.463347e-19
1.257059e+00,9.158037e-19
1.263518e+00,9.048741e-19
1.270011e+00,8.274669e-19
1.276536e+00,7.465692e-19
1.283095e+00,6.960489e-19
1.289688e+00,6.835036e-19
1.296316e+00,7.102855e-19
1.302976e+00,7.770729e-19
1.309671e+00,8.743413e-19
1.316401e+00,9.556129e-19
1.323165e+00,9.490214e-19
1.329055e+00,8.774507e-19
1.334970e+00,7.971509e-19
1.340912e+00,7.396934e-19
1.346881e+00,7.141133e-19
1.352876e+00,7.219004e-19
1.358898e+00,7.639889e-19
1.364946e+00,8.395538e-19
1.371022e+00,9.347426e-19
1.377124e+00,1.003938e-18
1.383254e+00,9.922558e-19
1.389411e+00,9.131500e-19
1.395595e+00,8.267293e-19
1.401807e+00,7.681537e-19
1.408046e+00,7.464536e-19
1.414314e+00,7.630408e-19
1.420609e+00,8.188865e-19
1.426932e+00,9.103785e-19
1.433283e+00,1.010535e-18
1.439663e+00,1.053441e-18
1.446071e+00,9.998618e-19
1.452507e+00,9.023227e-19
1.458973e+00,8.219924e-19
1.465467e+00,7.809110e-19
1.471989e+00,7.827199e-19
1.478541e+00,8.285861e-19
1.485122e+00,9.175343e-19
1.491733e+00,1.029359e-18
1.498372e+00,1.096973e-18
1.505042e+00,1.056629e-18
1.511741e+00,9.529615e-19
1.517676e+00,8.710732e-19
1.523635e+00,8.220975e-19
1.529617e+00,8.105460e-19
1.535622e+00,8.373160e-19
1.541651e+00,9.030677e-19
1.547704e+00,1.002027e-18
1.553780e+00,1.103053e-18
1.559880e+00,1.140672e-18
1.566005e+00,1.082573e-18
1.572153e+00,9.812723e-19
1.578325e+00,8.956614e-19
1.584522e+00,8.481578e-19
1.590743e+00,8.428065e-19
1.596989e+00,8.805994e-19
1.603258e+00,9.617187e-19
1.609553e+00,1.074565e-18
1.615872e+00,1.170047e-18
1.622216e+00,1.172411e-18
1.628585e+00,1.082057e-18
1.634979e+00,9.751333e-19
1.641398e+00,9.012983e-19
1.647843e+00,8.734582e-19
1.654312e+00,8.933849e-19
1.660807e+00,9.620952e-19
1.667328e+00,1.073964e-18
1.673874e+00,1.190636e-18
1.680446e+00,1.226213e-18
1.687043e+00,1.146643e-18
1.693667e+00,1.029046e-18
1.700316e+00,9.415966e-19
1.706288e+00,9.058385e-19
1.712280e+00,9.123740e-19
1.718294e+00,9.621275e-19
1.724328e+00,1.054172e-18
1.730384e+00,1.172567e-18
1.736462e+00,1.262912e-18
1.742560e+00,1.254804e-18
1.748680e+00,1.158290e-18
1.754821e+00,1.047756e-18
1.760984e+00,9.699877e-19
1.767169e+00,9.375934e-19
1.773375e+00,9.523176e-19
1.779603e+00,1.015152e-18
1.785853e+00,1.122944e-18
1.792125e+00,1.248354e-18
1.798419e+00,1.316591e-18
1.804735e+00,1.266817e-18
1.811074e+00,1.148490e-18
1.817434e+00,1.041454e-18
1.823817e+00,9.795438e-19
1.830222e+00,9.690506e-19
1.836650e+00,1.011093e-18
1.843100e+00,1.105817e-18
1.849573e+00,1.238649e-18
1.856069e+00,1.347286e-18
1.862588e+00,1.339825e-18
1.869129e+00,1.226877e-18
1.875693e+00,1.103425e-18
1.882281e+00,1.023866e-18
1.888892e+00,1.000436e-18
1.894893e+00,1.028912e-18
1.900913e+00,1.105340e-18
1.906952e+00,1.223734e-18
1.913010e+00,1.349520e-18
1.919088e+00,1.404723e-18
1.925184e+00,1.341802e-18
1.931301e+00,1.218220e-18
1.937437e+00,1.108983e-18
1.943592e+00,1.044882e-18
1.949766e+00,1.031740e-18
1.955961e+00,1.070541e-18
1.962176e+00,1.161727e-18
1.968409e+00,1.294568e-18
1.974663e+00,1.418277e-18
1.980937e+00,1.441417e-18
1.987231e+00,1.344168e-18
1.993544e+00,1.211692e-18
1.999877e+00,1.112275e-18
2.006230e+00,1.066451e-18
2.012605e+00,1.077023e-18
2.018999e+00,1.145067e-18
2.025413e+00,1.267463e-18
2.031847e+00,1.413044e-18
2.038303e+00,1.492238e-18
2.044779e+00,1.431444e-18
2.051274e+00,1.292686e-18
2.057791e+00,1.171078e-18
2.064330e+00,1.104374e-18
2.070888e+00,1.098856e-18
2.077467e+00,1.155713e-18
