1E-04,3.27022279313259E-18
1.02329299228075E-04,3.23278886236886E-18
1.0471285480509E-04,3.19578343426723E-18
1.07151930523761E-04,3.1446863909264E-18
1.09647819614319E-04,3.08728939573494E-18
1.12201845430196E-04,3.02396904518084E-18
1.14815362149688E-04,2.95513510596893E-18
1.17489755493953E-04,2.89452524182624E-18
1.20226443461741E-04,2.84824498386294E-18
1.23026877081238E-04,2.80270469604959E-18
1.25892541179417E-04,2.76425014599597E-18
1.28824955169313E-04,2.7263232121489E-18
1.31825673855641E-04,2.68891665534265E-18
1.34896288259165E-04,2.65202333573654E-18
1.38038426460289E-04,2.6156362114522E-18
1.41253754462275E-04,2.57974833722944E-18
1.44543977074593E-04,2.55021820220426E-18
1.47910838816821E-04,2.51522789671737E-18
1.51356124843621E-04,2.48071767621968E-18
1.54881661891248E-04,2.45232113579714E-18
1.58489319246111E-04,2.42424964788486E-18
1.62181009735893E-04,2.39649949163758E-18
1.65958690743756E-04,2.36906698880212E-18
1.69824365246174E-04,2.34734725209605E-18
1.73780082874938E-04,2.32047739029402E-18
1.77827941003892E-04,2.29920312570471E-18
1.81970085860998E-04,2.27812390474554E-18
1.86208713666287E-04,2.25723793924572E-18
1.90546071796325E-04,2.23654345742857E-18
1.94984459975805E-04,2.21603870376116E-18
1.99526231496888E-04,2.19572193880531E-18
2.04173794466953E-04,2.17058771761213E-18
2.08929613085404E-04,2.1457412054698E-18
2.13796208950223E-04,2.12117910900008E-18
2.18776162394955E-04,2.09689817252368E-18
2.23872113856834E-04,2.07289517762877E-18
2.29086765276777E-04,2.04445398955912E-18
2.34422881531992E-04,2.01176543094383E-18
2.39883291901949E-04,1.97959952623507E-18
2.45470891568503E-04,1.94794791877478E-18
2.51188643150958E-04,1.9123938623672E-18
2.57039578276886E-04,1.87748874062303E-18
2.63026799189538E-04,1.83898141915786E-18
2.69153480392692E-04,1.8012638834178E-18
2.75422870333817E-04,1.76431993488612E-18
2.81838293126446E-04,1.72019365413218E-18
2.88403150312661E-04,1.68103726606995E-18
2.95120922666639E-04,1.63899391503497E-18
3.01995172040202E-04,1.59800208344095E-18
3.09029543251359E-04,1.56162711510342E-18
3.16227766016838E-04,1.5260801421329E-18
3.23593656929628E-04,1.49134231705381E-18
3.31131121482591E-04,1.45739522141146E-18
3.38844156139202E-04,1.41441658859578E-18
3.46736850452532E-04,1.37270539706956E-18
3.54813389233575E-04,1.33222426994769E-18
3.63078054770101E-04,1.29293693259058E-18
3.71535229097172E-04,1.25770081169619E-18
3.80189396320561E-04,1.22624525875253E-18
3.8904514499428E-04,1.1955764205838E-18
3.98107170553497E-04,1.16567462116845E-18
4.07380277804113E-04,1.13914062732937E-18
4.16869383470336E-04,1.11321062092921E-18
4.26579518801593E-04,1.08787085353535E-18
4.36515832240166E-04,1.06310788966771E-18
4.46683592150963E-04,1.0413035313385E-18
4.57088189614875E-04,1.01760056913671E-18
4.67735141287198E-04,9.967295666156E-19
4.78630092322639E-04,9.76286628660732E-19
4.89778819368446E-04,9.54063631848736E-19
5.01187233627273E-04,9.34495772838488E-19
5.12861383991365E-04,9.1532925090206E-19
5.24807460249773E-04,8.98622609259123E-19
5.37031796370253E-04,8.80191846431144E-19
5.49540873857625E-04,8.62139098817697E-19
5.62341325190349E-04,8.44456613321214E-19
5.75439937337157E-04,8.27136795860274E-19
5.88843655355589E-04,8.08308863736785E-19
6.02559586074357E-04,7.91730437147265E-19
6.16595001861482E-04,7.75492034329003E-19
6.30957344480193E-04,7.5783968050104E-19
6.45654229034656E-04,7.42296377596097E-19
6.60693448007596E-04,7.25399649167578E-19
6.76082975391982E-04,7.08887537234841E-19
6.91830970918936E-04,6.9115800311097E-19
7.07945784384138E-04,6.75425326201529E-19
7.2443596007499E-04,6.58532694098378E-19
7.41310241300918E-04,6.4354265988924E-19
7.58577575029184E-04,6.27447424821094E-19
7.76247116628692E-04,6.11754737413027E-19
7.94328234724281E-04,5.96454529802224E-19
8.12830516164099E-04,5.81536985926766E-19
8.31763771102671E-04,5.66992535227995E-19
8.51138038202377E-04,5.52811846510406E-19
8.70963589956081E-04,5.40228312595282E-19
8.91250938133746E-04,5.26717006781946E-19
9.1201083935591E-04,5.13543623621917E-19
9.33254300796991E-04,5.00699711547208E-19
9.54992586021436E-04,4.89302394645767E-19
9.77237220955811E-04,4.78164512350655E-19
1E-03,4.67280159209243E-19
1.02329299228075E-03,4.56643564193432E-19
1.0471285480509E-03,4.472777980288E-19
1.07151930523761E-03,4.38104123864864E-19
1.09647819614319E-03,4.29118601891886E-19
1.12201845430196E-03,4.20317373105685E-19
1.14815362149688E-03,4.11696657650309E-19
1.17489755493953E-03,4.04182346796395E-19
1.20226443461741E-03,3.96805187572351E-19
1.23026877081238E-03,3.89562676678813E-19
1.25892541179417E-03,3.82452356506784E-19
1.28824955169313E-03,3.74608253094352E-19
1.31825673855641E-03,3.67770881913691E-19
1.34896288259165E-03,3.60227895759385E-19
1.38038426460289E-03,3.52028107762663E-19
1.41253754462275E-03,3.43223757253853E-19
1.44543977074593E-03,3.33102077410313E-19
1.47910838816821E-03,3.20315047592863E-19
1.51356124843621E-03,3.03792705210177E-19
1.54881661891248E-03,2.81564139313882E-19
1.58489319246111E-03,2.55609706231092E-19
1.62181009735893E-03,2.26765687618171E-19
1.65958690743756E-03,1.97959952623507E-19
1.69824365246174E-03,1.70442282391598E-19
1.73780082874938E-03,1.45404330541691E-19
1.77827941003892E-03,1.24330402955481E-19
1.81970085860998E-03,1.06801497272973E-19
1.86208713666287E-03,9.23798688183309E-20
1.90546071796325E-03,8.0644980493853E-20
1.94984459975805E-03,7.05630494856545E-20
1.99526231496888E-03,6.18838523413176E-20
2.04173794466953E-03,5.45226983627123E-20
2.08929613085404E-03,4.81478990406955E-20
2.13796208950223E-03,4.26164570214786E-20
2.18776162394955E-03,3.78074460583621E-20
2.23872113856834E-03,3.36959217679562E-20
2.29086765276777E-03,3.02396904518084E-20
2.34422881531992E-03,2.73260803623019E-20
2.39883291901949E-03,2.4864363210674E-20
2.45470891568503E-03,2.28337552271692E-20
2.51188643150958E-03,2.10173202203647E-20
2.57039578276886E-03,1.94794791877478E-20
2.63026799189538E-03,1.81374964817237E-20
2.69153480392692E-03,1.69659171238356E-20
2.75422870333817E-03,1.59800208344095E-20
2.81838293126445E-03,1.51208895529178E-20
2.88403150312661E-03,1.43079476078786E-20
2.95120922666639E-03,1.36012035834324E-20
3.01995172040202E-03,1.29591746003991E-20
3.09029543251359E-03,1.24044450963767E-20
3.16227766016838E-03,1.19282667112119E-20
3.23593656929628E-03,1.15765017351938E-20
3.31131121482591E-03,1.1183489676911E-20
3.38844156139202E-03,1.05093859428523E-20
3.46736850452532E-03,9.54063631848736E-21
3.54813389233575E-03,8.68115161554894E-21
3.63078054770101E-03,8.13911793110187E-21
3.71535229097172E-03,7.82667573776022E-21
3.80189396320561E-03,7.56096697603149E-21
3.8904514499428E-03,7.32111689481389E-21
3.98107170553497E-03,7.10521691778626E-21
4.07380277804113E-03,6.87982420542519E-21
4.16869383470336E-03,6.67693796426196E-21
4.26579518801593E-03,6.46513117842493E-21
4.36515832240166E-03,6.27447424821094E-21
4.46683592150963E-03,6.07543447422411E-21
4.57088189614875E-03,5.89626971258134E-21
4.67735141287198E-03,5.72238852562791E-21
4.78630092322639E-03,5.55363510057309E-21
4.89778819368446E-03,5.40228312595282E-21
5.01187233627272E-03,5.24296961961931E-21
5.12861383991365E-03,5.08835427380582E-21
5.24807460249773E-03,4.9496824934383E-21
5.37031796370253E-03,4.80371619458236E-21
5.49540873857625E-03,4.67280159209243E-21
5.62341325190349E-03,4.53500052008632E-21
5.75439937337157E-03,4.40126320620723E-21
5.88843655355589E-03,4.28131656494979E-21
6.02559586074357E-03,4.15506039921701E-21
6.16595001861482E-03,4.03252753194711E-21
6.30957344480193E-03,3.92262996150573E-21
6.45654229034656E-03,3.80695147545712E-21
6.60693448007596E-03,3.69468435175104E-21
6.76082975391982E-03,3.58572798920034E-21
6.91830970918936E-03,3.48800694671399E-21
7.07945784384138E-03,3.37735988898857E-21
7.2443596007499E-03,3.27776143523851E-21
7.41310241300918E-03,3.18110014315187E-21
7.58577575029184E-03,3.08018882716343E-21
7.76247116628692E-03,2.98935395776031E-21
7.94328234724281E-03,2.90119781163113E-21
8.12830516164099E-03,2.80916559763602E-21
8.31763771102671E-03,2.72005284276186E-21
8.51138038202377E-03,2.63376693550677E-21
8.7096358995608E-03,2.55021820220426E-21
8.91250938133746E-03,2.46931981382874E-21
9.1201083935591E-03,2.39098769575753E-21
9.33254300796992E-03,2.31514044039512E-21
9.54992586021436E-03,2.24169922256952E-21
9.77237220955811E-03,2.19067191848263E-21
1E-02,2.15068764980197E-21
